Evaluacion;Año;FP;Eva_;Eva_E;Fecha;Time_E;Time_;Parcela;Surco_1;Surco;Arbol_1;Arbol;Rep;Nudos;Htotal;Htotal_t;Hroya;Inc_promedio;Def_calculada;Sev_total;Severidad;Sev_condicional
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;5;5;1;12;17;24;2;11,76;29,17;0,7;0,04;0,35
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;5;5;2;11;17;22;3;17,65;22,73;1,8;0,11;0,6
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;5;5;3;12;17;24;6;35,29;29,17;3,9;0,23;0,65
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;6;6;1;11;17;22;8;47,06;22,73;0,8;0,05;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;6;6;2;8;12;16;2;16,67;25;2;0,17;1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;6;6;3;8;11;16;2;18,18;31,25;1,9;0,17;0,95
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;7;7;1;8;12;16;8;66,67;25;4,3;0,36;0,54
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;7;7;2;10;17;20;4;23,53;15;2,4;0,14;0,6
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;7;7;3;10;14;20;4;28,57;30;2,5;0,18;0,63
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;8;8;1;9;13;18;1;7,69;27,78;0,1;0,01;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;8;8;2;8;14;16;1;7,14;12,5;0,2;0,01;0,2
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;8;8;3;11;15;22;4;26,67;31,82;1,3;0,09;0,33
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;9;9;1;8;16;16;8;50;0;1,2;0,08;0,15
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;9;9;2;10;16;20;5;31,25;20;1,6;0,1;0,32
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;9;9;3;12;20;24;7;35;16,67;1,9;0,1;0,27
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;10;10;1;11;16;22;5;31,25;27,27;2,1;0,13;0,42
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;10;10;2;9;13;18;8;61,54;27,78;4,7;0,36;0,59
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;10;10;3;8;11;16;8;72,73;31,25;3,4;0,31;0,43
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;10;11;1;9;14;18;6;42,86;22,22;3,1;0,22;0,52
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;10;11;2;10;14;20;8;57,14;30;3,4;0,24;0,43
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;10;11;3;7;13;14;5;38,46;7,14;0,9;0,07;0,18
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;9;12;1;9;17;18;5;29,41;5,56;2,1;0,12;0,42
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;9;12;2;9;15;18;7;46,67;16,67;3,4;0,23;0,49
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;9;12;3;7;12;14;4;33,33;14,29;0,4;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;7;13;1;10;13;20;5;38,46;35;1,1;0,08;0,22
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;7;13;2;8;14;16;4;28,57;12,5;1,2;0,09;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;7;13;3;6;10;12;3;30;16,67;1,3;0,13;0,43
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;5;14;1;7;13;14;4;30,77;7,14;1,8;0,14;0,45
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;5;14;2;9;11;18;6;54,55;38,89;1,4;0,13;0,23
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;5;14;3;8;13;16;6;46,15;18,75;1,8;0,14;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;4;15;1;7;12;14;7;58,33;14,29;3,3;0,28;0,47
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;4;15;2;7;13;14;4;30,77;7,14;0,4;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;4;15;3;7;11;14;4;36,36;21,43;1,1;0,1;0,28
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;3;16;1;8;16;16;5;31,25;0;3;0,19;0,6
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;3;16;2;6;11;12;4;36,36;8,33;3,6;0,33;0,9
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;3;16;3;8;13;16;7;53,85;18,75;6,3;0,48;0,9
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;2;17;1;10;15;20;9;60;25;1,3;0,09;0,14
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;2;17;2;10;13;20;2;15,38;35;0,2;0,02;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;2;17;3;10;16;20;3;18,75;20;0,3;0,02;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;1;18;1;10;13;20;9;69,23;35;2,6;0,2;0,29
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;1;18;2;7;12;14;4;33,33;14,29;0,4;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;2;B;1;18;3;8;13;16;9;69,23;18,75;1,3;0,1;0,14
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;1;19;1;7;13;14;6;46,15;7,14;2,3;0,18;0,38
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;1;19;2;7;12;14;3;25;14,29;1,1;0,09;0,37
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;1;19;3;7;12;14;3;25;14,29;1,7;0,14;0,57
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;2;20;1;9;16;18;9;56,25;11,11;3,9;0,24;0,43
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;2;20;2;7;13;14;7;53,85;7,14;5,9;0,45;0,84
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;2;20;3;8;10;16;6;60;37,5;2,3;0,23;0,38
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;3;21;1;7;12;14;7;58,33;14,29;2,4;0,2;0,34
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;3;21;2;5;10;10;2;20;0;0,2;0,02;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;3;21;3;8;12;16;3;25;25;0,8;0,07;0,27
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;4;22;1;9;11;18;10;90,91;38,89;9;0,82;0,9
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;4;22;2;8;16;16;6;37,5;0;4,7;0,29;0,78
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;4;22;3;7;11;14;5;45,45;21,43;1,4;0,13;0,28
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;5;23;1;7;11;14;4;36,36;21,43;0,4;0,04;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;5;23;2;6;10;12;4;40;16,67;2,7;0,27;0,68
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;5;23;3;6;10;12;4;40;16,67;3,6;0,36;0,9
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;6;24;1;7;13;14;6;46,15;7,14;1,9;0,15;0,32
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;6;24;2;7;11;14;6;54,55;21,43;1,8;0,16;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;6;24;3;10;17;20;10;58,82;15;2,7;0,16;0,27
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;7;25;1;6;11;12;5;45,45;8,33;2,7;0,25;0,54
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;7;25;2;6;12;12;5;41,67;0;3,1;0,26;0,62
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;7;25;3;6;10;12;7;70;16,67;4,9;0,49;0,7
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;8;26;1;8;13;16;2;15,38;18,75;1;0,08;0,5
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;8;26;2;10;14;20;7;50;30;2;0,14;0,29
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;8;26;3;8;11;16;6;54,55;31,25;4,3;0,39;0,72
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;9;27;1;8;14;16;5;35,71;12,5;1,4;0,1;0,28
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;9;27;2;9;15;18;4;26,67;16,67;0,4;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;9;27;3;7;10;14;7;70;28,57;3,5;0,35;0,5
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;10;28;1;6;10;12;1;10;16,67;0,1;0,01;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;10;28;2;6;12;12;3;25;0;1,1;0,09;0,37
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;3;C;10;28;3;7;11;14;2;18,18;21,43;0,2;0,02;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;10;29;1;8;12;16;6;50;25;3,6;0,3;0,6
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;10;29;2;10;15;20;3;20;25;1,1;0,07;0,37
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;10;29;3;8;15;16;6;40;6,25;1,1;0,07;0,18
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;9;30;1;9;16;18;10;62,5;11,11;3,1;0,19;0,31
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;9;30;2;6;12;12;6;50;0;4,2;0,35;0,7
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;9;30;3;8;15;16;3;20;6,25;0,3;0,02;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;7;31;1;7;12;14;6;50;14,29;1;0,08;0,17
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;7;31;2;11;15;22;4;26,67;31,82;0,4;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;7;31;3;7;14;14;4;28,57;0;1,2;0,09;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;6;32;1;8;14;16;3;21,43;12,5;0,7;0,05;0,23
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;6;32;2;9;13;18;8;61,54;27,78;4,3;0,33;0,54
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;6;32;3;7;10;14;4;40;28,57;1,7;0,17;0,43
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;5;33;1;8;11;16;8;72,73;31,25;4,9;0,45;0,61
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;5;33;2;7;11;14;3;27,27;21,43;1,5;0,14;0,5
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;5;33;3;6;11;12;6;54,55;8,33;3,7;0,34;0,62
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;3;34;1;7;12;14;7;58,33;14,29;1,5;0,13;0,21
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;3;34;2;7;10;14;5;50;28,57;2,7;0,27;0,54
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;3;34;3;6;11;12;3;27,27;8,33;1,1;0,1;0,37
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;2;35;1;6;8;12;2;25;33,33;0,2;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;2;35;2;7;13;14;3;23,08;7,14;1,1;0,08;0,37
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;2;35;3;14;20;28;7;35;28,57;2,4;0,12;0,34
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;1;36;1;7;13;14;4;30,77;7,14;0,8;0,06;0,2
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;1;36;2;8;12;16;4;33,33;25;2,1;0,18;0,53
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;4;D;1;36;3;7;10;14;4;40;28,57;2,6;0,26;0,65
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;1;37;1;7;13;14;7;53,85;7,14;2,3;0,18;0,33
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;1;37;2;10;15;20;5;33,33;25;0,5;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;1;37;3;7;13;14;7;53,85;7,14;4;0,31;0,57
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;4;38;1;7;10;14;5;50;28,57;3,8;0,38;0,76
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;4;38;2;11;12;22;7;58,33;45,45;5,6;0,47;0,8
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;4;38;3;9;16;18;6;37,5;11,11;3,7;0,23;0,62
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;5;39;1;7;12;14;4;33,33;14,29;3,4;0,28;0,85
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;5;39;2;7;10;14;5;50;28,57;3,6;0,36;0,72
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;5;39;3;9;14;18;8;57,14;22,22;5,5;0,39;0,69
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;6;40;1;7;11;14;8;72,73;21,43;1,6;0,15;0,2
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;6;40;2;6;10;12;6;60;16,67;4,3;0,43;0,72
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;6;40;3;9;13;18;6;46,15;27,78;3,3;0,25;0,55
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;7;41;1;10;15;20;4;26,67;25;0,4;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;7;41;2;9;14;18;8;57,14;22,22;3,4;0,24;0,43
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;7;41;3;7;12;14;5;41,67;14,29;1,3;0,11;0,26
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;8;42;1;15;23;30;12;52,17;23,33;2,5;0,11;0,21
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;8;42;2;11;18;22;5;27,78;18,18;0,9;0,05;0,18
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;8;42;3;10;14;20;6;42,86;30;1,8;0,13;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;9;43;1;5;9;10;5;55,56;10;2,2;0,24;0,44
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;9;43;2;7;13;14;6;46,15;7,14;1,4;0,11;0,23
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;9;43;3;11;13;22;4;30,77;40,91;1,4;0,11;0,35
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;10;44;1;7;11;14;5;45,45;21,43;1,8;0,16;0,36
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;10;44;2;7;11;14;7;63,64;21,43;4,7;0,43;0,67
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;5;E;10;44;3;9;11;18;5;45,45;38,89;2,2;0,2;0,44
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;10;45;1;7;9;14;7;77,78;35,71;2,9;0,32;0,41
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;10;45;2;5;10;10;6;60;0;4,1;0,41;0,68
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;10;45;3;6;10;12;4;40;16,67;0,8;0,08;0,2
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;9;46;1;6;10;12;6;60;16,67;2,4;0,24;0,4
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;9;46;2;6;12;12;7;58,33;0;4,1;0,34;0,59
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;9;46;3;8;10;16;5;50;37,5;1,4;0,14;0,28
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;6;47;1;9;15;18;8;53,33;16,67;2,5;0,17;0,31
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;6;47;2;11;17;22;12;70,59;22,73;2,8;0,16;0,23
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;6;47;3;15;9;30;7;77,78;70;1,9;0,21;0,27
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;5;48;1;9;13;18;6;46,15;27,78;2;0,15;0,33
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;5;48;2;8;12;16;5;41,67;25;1;0,08;0,2
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;5;48;3;7;11;14;5;45,45;21,43;2,2;0,2;0,44
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;4;49;1;6;10;12;3;30;16,67;1,2;0,12;0,4
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;4;49;2;6;11;12;5;45,45;8,33;1,9;0,17;0,38
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;4;49;3;5;10;10;4;40;0;1,2;0,12;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;3;50;1;6;11;12;4;36,36;8,33;2,2;0,2;0,55
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;3;50;2;7;11;14;5;45,45;21,43;5,2;0,47;1,04
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;3;50;3;6;10;12;7;70;16,67;3,8;0,38;0,54
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;2;51;1;7;10;14;4;40;28,57;2,6;0,26;0,65
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;2;51;2;8;11;16;7;63,64;31,25;1,1;0,1;0,16
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;2;51;3;8;10;16;5;50;37,5;2,7;0,27;0,54
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;1;52;1;9;10;18;2;20;44,44;1;0,1;0,5
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;1;52;2;5;10;10;3;30;0;0,3;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;6;F;1;52;3;8;12;16;5;41,67;25;1,8;0,15;0,36
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;1;53;1;10;15;20;5;33,33;25;1,5;0,1;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;1;53;2;11;20;22;5;25;9,09;0,9;0,05;0,18
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;1;53;3;9;17;18;6;35,29;5,56;1,9;0,11;0,32
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;2;54;1;7;11;14;4;36,36;21,43;1,7;0,15;0,43
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;2;54;2;10;10;20;6;60;50;1,9;0,19;0,32
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;2;54;3;8;12;16;2;16,67;25;1,1;0,09;0,55
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;3;55;1;9;13;18;3;23,08;27,78;0,7;0,05;0,23
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;3;55;2;10;15;20;3;20;25;1,2;0,08;0,4
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;3;55;3;7;10;14;4;40;28,57;0,8;0,08;0,2
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;4;56;1;8;11;16;2;18,18;31,25;0,6;0,05;0,3
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;4;56;2;9;13;18;6;46,15;27,78;2,3;0,18;0,38
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;4;56;3;7;13;14;5;38,46;7,14;0,9;0,07;0,18
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;7;57;1;10;13;20;8;61,54;35;3,9;0,3;0,49
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;7;57;2;11;13;22;7;53,85;40,91;2,9;0,22;0,41
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;7;57;3;9;16;18;3;18,75;11,11;0,7;0,04;0,23
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;9;58;1;8;12;16;9;75;25;4,7;0,39;0,52
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;9;58;2;8;11;16;3;27,27;31,25;1,2;0,11;0,4
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;9;58;3;7;11;14;2;18,18;21,43;0,7;0,06;0,35
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;10;59;1;7;12;14;2;16,67;14,29;1;0,08;0,5
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;10;59;2;13;21;26;12;57,14;19,23;3,3;0,16;0,28
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;7;G;10;59;3;7;11;14;3;27,27;21,43;0,3;0,03;0,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;8;H;10;60;1;6;12;12;6;50;0;2,7;0,23;0,45
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;8;H;10;60;2;11;16;22;1;6,25;27,27;0,1;0,01;0,1
